차량명	배기량	연비	가격(단위:만)	연료	차량유형	사진파일
현대 베뉴	1598	13.5	2042	경유	소형 SUV	./3조/차량사진/현대베뉴.png
현대 코나	1598	13.3	2442	휘발유	소형 SUV	./3조/차량사진/현대코나.png
현대 코나 N	1998	10	3418	휘발유	소형 SUV	./3조/차량사진/현대코나N.png
현대 투싼	1598	12.3	2641	휘발유	준중형 SUV	./3조/차량사진/현대투싼.png
현대 싼타페	2151	13.9	3625	경유	중형 SUV	./3조/차량사진/현대싼타페.png
현대 팰리세이드	2199	11.9	4263	휘발유	준대형 SUV	./3조/차량사진/현대팰리세이드.png
기아 EV6	0	5.6km/kwh	4730	전기	준중형 SUV	./3조/차량사진/기아EV6.png
기아 모닝	998	15.7	1355	휘발유	경형 해치백	./3조/차량사진/기아모닝.png
기아 레이	998	12.9	1475	휘발유	경형 RV	./3조/차량사진/기아레이.png
기아 K3	1598	14.7	1958	휘발유	준중형 세단	./3조/차량사진/기아K3.png
기아 K5	1598	13.4	2749	휘발유	중형 세단	./3조/차량사진/기아K5.png
기아 K8	2497	11.8	3510	휘발유	준대형 세단	./3조/차량사진/기아K8.png
기아 K9	3342	8.7	6342	휘발유	대형 세단	./3조/차량사진/기아K9.png
기아 쏘울 부스터	1591	12.4	2096	휘발유	소형 SUV	./3조/차량사진/기아쏘울부스터.png
기아 니로 하이브리드	1580	19.9	2895	휘발유	소형 SUV	./3조/차량사진/기아니로.png
기아 셀토스	1591	12.3	2258	휘발유	소형 SUV	./3조/차량사진/기아셀토스.png
기아 스포티지	1598	12.2	2624	휘발유	준중형 SUV	./3조/차량사진/기아스포티지.png
기아 쏘렌토	2151	14	3351	휘발유	중형 SUV	./3조/차량사진/기아쏘렌토.png
기아 모하비	2959	9.3	5493	경유	준대형 SUV	./3조/차량사진/기아모하비.png
기아 카니발	2151	12.6	3870	경유	대형 RV	./3조/차량사진/기아카니발.png
르노코리아 SM6	1332	13.4	2739	휘발유	중형 세단	./3조/차량사진/르노SM6.png
르노코리아 QM6	1997	11.8	2710	휘발유	중형 SUV	./3조/차량사진/르노QM6.png
르노코리아 XM3	1598	13.5	2076	휘발유	소형 SUV	./3조/차량사진/르노XM3.png
볼보 V60 크로스 컨트리	1969	9.9	5960	휘발유	중형 왜건	./3조/차량사진/볼보V60.png
볼보 V90 크로스 컨트리	1969	10.6	7570	휘발유	준대형 왜건	./3조/차량사진/볼보V90.png
볼보 S60	1969	11.3	5410	휘발유	중형 세단	./3조/차량사진/볼보S60.png
볼보 S90	1969	11.2	6850	휘발유	준대형 세단	./3조/차량사진/볼보S90.png
볼보 XC40	1969	10.1	4930	휘발유	준중형 SUV	./3조/차량사진/볼보XC40.png
볼보 XC60	1969	9.5	6800	휘발유	중형 SUV	./3조/차량사진/볼보XC60.png
볼보 XC90	1969	9.3	9310	휘발유	준대형 SUV	./3조/차량사진/볼보XC90.png
